id,file_number,party_labeled,decision_category
id_acm_energy_permit_96,1,GGP B.V.,verguning verlening (grant)
id_acm_energy_permit_125,1,"Daytona B.V., Mega Energie B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_282,1,Kleinverbruik Energie der Nederlanden B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_200,1,"Eneco Retail B.V., Eneco Consumenten B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_146,1,HVC Energie B.V.,verguning verlening (grant)
id_acm_energy_permit_246,1,Groene Energie Administratie B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_163,1,Green Spread Warmte B.V.,verguning verlening (grant)
id_acm_energy_permit_229,1,Gas Natural Europe S.A.S.,verguning verlening (grant)
id_acm_energy_permit_295,1,Wij Maken Energie B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_270,1,Naked Energy B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_101,1,Holthausen Clean Energy B.V.,verguning verlening (grant)
id_acm_energy_permit_182,1,GP Groot energie B.V.,verguning verlening (grant)
id_acm_energy_permit_297,1,Tibber Netherlands B.V.,verguning verlening (grant)
id_acm_energy_permit_157,1,Nieuw Hollands Energie B.V.,verguning verlening (grant)
id_acm_energy_permit_39,1,Nederlandse Energiemaatschappij B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_148,1,Cofely Energy Solutions B.V.,verguning verlening (grant)
id_acm_energy_permit_81,1,Energievergunning E.ON Benelux Levering B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_121,1,Energievergunningen MAIN Energie B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_300,1,Linthorst Energie Services B B.V.,verguning verlening (grant)
id_acm_energy_permit_144,1,Vaanster VII B.V.,verguning verlening (grant)
id_acm_energy_permit_41,1,"NV Nuon Warmte, Vattenfall Warmte N.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_202,1,NLD Energie U.A.,verguning verlening (grant)
id_acm_energy_permit_120,1,DGB Energie B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_2,1,De Vrije Energie Producent B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_162,1,Powerpeers B.V.,verguning verlening (grant)
id_acm_energy_permit_164,1,Vrij Op Naam B.V.,verguning verlening (grant)
id_acm_energy_permit_302,2,Qurrent Nederland B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_13,1,NewEnergy B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_230,1,Eteck Warmte Holding B.V.,none
id_acm_energy_permit_264,1,E-Bascuul B.V.,none
id_acm_energy_permit_254,17,,none
id_acm_energy_permit_15,2,Shell Energy Retail B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_43,2,"N.V. Nuon Sales Nederland, Vattenfall Sales Nederland N.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_285,2,Welkom Energie B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_11,1,"e-Energy Europe B.V., Slim met Energie B.V.",none
id_acm_energy_permit_10,1,"Youfone Energie B.V., DigiWatt Energie B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_69,1,Kelvin B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_132,1,Twence B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_138,1,Cogas B.V.,verguning verlening (grant)
id_acm_energy_permit_12,2,HLO Energie B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_290,1,Daytona B.V.,verguning verlening (grant)
id_acm_energy_permit_254,10,,none
id_acm_energy_permit_116,1,"KAS Energie Nederland, Kleinverbruik Energie Nederland",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_32,1,Gas Natural Europe S.A.S.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_3,1,Qwint B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_265,1,"Kernion B.V., NewEnergy B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_127,1,Enstroga B.V.,none
id_acm_energy_permit_301,1,All In Power B.V.,verguning verlening (grant)
id_acm_energy_permit_254,19,,none
